index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,10,,3,3,3,
5,4,,11,,3,,3,
6,,,12,,,,3,
7,,8,13,,,3,3,
8,7,,14,2,3,,3,3
9,,,15,,,,4,
10,,,16,4,,,3,3
11,,12,,5,,3,,3
12,11,,18,6,3,,3,3
13,,14,,7,,3,,3
14,13,15,20,8,3,3,3,3
15,14,,21,9,3,,4,4
16,,,22,10,,,3,3
17,,18,23,,,3,3,
18,17,,24,12,3,,3,3
19,,20,,,,3,,
20,19,,26,14,3,,3,3
21,,,,15,,,,4
22,,,28,16,,,3,3
23,,,,17,,,,3
24,,,,18,,,,3
25,,,31,,,,3,
26,,27,32,20,,3,3,3
27,26,28,,,3,3,,
28,27,29,,22,3,3,,3
29,28,30,,,3,3,,
30,29,,36,,3,,3,
31,,,37,25,,,3,3
32,,,38,26,,,3,3
33,,,39,,,,3,
34,,35,,,,3,,
35,34,36,41,,3,3,3,
36,35,,,30,3,,,3
37,,38,,31,,3,,3
38,37,39,44,32,3,3,3,3
39,38,,,33,3,,,3
40,,41,46,,,3,3,
41,40,42,47,35,3,3,3,3
42,41,,48,,3,,3,
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,,,40,3,,,3
47,,,,41,,,,3
48,,,,42,,,,3
