index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,,8,,,,3,
3,,4,9,,,3,3,
4,3,,10,,3,,3,
5,,6,,,,3,,
6,5,,12,,3,,3,
7,,8,,1,,3,,3
8,7,,14,2,3,,3,3
9,,,15,3,,,3,3
10,,11,16,4,,3,3,3
11,10,12,,,3,3,,
12,11,,18,6,3,,3,3
13,,14,19,,,3,3,
14,13,,20,8,3,,3,3
15,,,21,9,,,3,3
16,,,22,10,,,3,3
17,,18,,,,3,,
18,17,,24,12,3,,3,3
19,,,,13,,,,3
20,,21,,14,,3,,3
21,20,,27,15,3,,3,3
22,,23,28,16,,3,3,3
23,22,,,,3,,,
24,,,,18,,,,3
25,,26,31,,,3,3,
26,25,27,,,3,3,,
27,26,,,21,3,,,3
28,,,34,22,,,3,3
29,,30,35,,,3,3,
30,29,,,,3,,,
31,,32,,25,,3,,3
32,31,,38,,3,,3,
33,,,39,,,,4,
34,,35,40,28,,3,3,3
35,34,,,29,3,,,3
36,,,42,,,,3,
37,,38,,,,3,,
38,37,39,44,32,3,3,3,3
39,38,,,33,3,,,4
40,,,46,34,,,3,3
41,,42,47,,,3,3,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,47,,40,3,3,,3
47,46,,,41,3,,,3
48,,,,42,,,,3
